Interprete,Titre,Éditeur / Distributeur,Catégorie,Certification,Date de sortie,Date de constat,source_page,source_year,source_category
KAASH PAIGE,LOVE SONGS,UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE,Singles,Or,15/11/2019,25/12/2025,1,2025,Singles
SOSO MANESS,TP,RCA GROUP / SONY MUSIC ENTERTAINMENT,Singles,Or,22/03/2019,25/12/2025,1,2025,Singles
SNEAZZY FEAT. ARMA JACKSON,CIGARETTES,ALLPOINTS / BELIEVE,Singles,Or,06/03/2020,25/12/2025,1,2025,Singles
PLK,ALLELUIA,PANENKA MUSIC / WAGRAM,Singles,Or,28/08/2020,25/12/2025,1,2025,Singles
TRAVIS SCOTT,ASTROTHUNDER,CACTUS JACK / EPIC / SONY MUSIC ENTERTAINMENT,Singles,Or,05/08/2018,25/12/2025,1,2025,Singles
DINOS FEAT. LAYLOW,PICHICHI ANDERSON,SPKTAQLR / CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE,Singles,Or,04/11/2022,25/12/2025,1,2025,Singles
ANGÈLE,"AMOUR, HAINE & DANGER",SAIMIRI / ROMANCE MUSIQUE / UNIVERSAL MUSIC FRANCE,Singles,Or,29/09/2022,25/12/2025,1,2025,Singles
LUV RESVAL,BALLADE NOCTURNE III,AWA / SONY MUSIC ENTERTAINMENT,Singles,Or,19/05/2023,25/12/2025,1,2025,Singles
MERVEILLE,PAQUETA,BLOOD LINE / MAP RECORD / ALLPOINTS / BELIEVE,Singles,Or,26/04/2024,25/12/2025,1,2025,Singles
ADDISON RAE,DIET PEPSI,COLUMBIA / SONY MUSIC ENTERTAINMENT,Singles,Or,09/08/2024,25/12/2025,1,2025,Singles
INDOCHINE,L'AMOUR FOU,SONY MUSIC ENTERTAINMENT / RCA / SONY MUSIC ENTERTAINMENT,Singles,Or,07/09/2024,25/12/2025,1,2025,Singles
M. POKORA,REFLET,COLUMBIA / SONY MUSIC ENTERTAINMENT,Singles,Or,31/01/2025,25/12/2025,1,2025,Singles
KPOP DEMON HUNTERS CAST,YOUR IDOL,UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE,Singles,Or,20/06/2025,25/12/2025,1,2025,Singles
TAME IMPALA,BORDERLINE,VIRGIN MUSIC FRANCE / UNIVERSAL MUSIC FRANCE,Singles,Platine,01/04/2019,25/12/2025,1,2025,Singles
ZKR,ROMANCE CRIMINELLE,MORNING GLORY MUSIC / ALL ROAD / ALLPOINTS / BELIEVE,Singles,Platine,04/09/2020,25/12/2025,1,2025,Singles
FRANGLISH FEAT. NINHO,SÉCU,CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE,Singles,Platine,27/10/2022,25/12/2025,1,2025,Singles
ZZ & TIMAR	,4H44,AURA MUSIC / VIRGIN RECORDS / UNIVERSAL MUSIC FRANCE,Singles,Platine,08/07/2025,25/12/2025,1,2025,Singles
LYNDA,SI TU M'AIMES,POLYDOR / LABEL PANTHEON / UNIVERSAL MUSIC FRANCE,Singles,Diamant,12/12/2019,25/12/2025,1,2025,Singles
LOMEPAL FEAT. ORELSAN,LA VÉRITÉ,PINÉALE / IDOL / INTEGRAL PIAS,Singles,Diamant,07/12/2018,25/12/2025,1,2025,Singles
SOPRANO FEAT. VINCENZO,LE COACH,REC. 118 / WARNER MUSIC FRANCE,Singles,Diamant,09/11/2018,25/12/2025,1,2025,Singles
MHD FEAT. TIAKOLA,POLOLO,CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE,Singles,Diamant,14/07/2021,25/12/2025,1,2025,Singles
KIM FEAT. GAZO,LOVE & LOVÉ,HORION / BELIEVE,Singles,Diamant,10/12/2021,25/12/2025,1,2025,Singles
TRAVIS SCOTT FEAT. PLAYBOI CARTI,FE!N,CACTUS JACK / EPIC / SONY MUSIC ENTERTAINMENT,Singles,Diamant,28/07/2023,25/12/2025,1,2025,Singles
WERENOI,PONEY,PLR MUSIC / PGP RECORDS / ALLPOINTS / BELIEVE,Singles,Diamant,11/04/2025,25/12/2025,1,2025,Singles
NAPS,POLO KENZO,ALLPOINTS / BELIEVE,Singles,Or,28/06/2019,18/12/2025,1,2025,Singles
TATE MCRAE,THAT WAY,RCA / SONY MUSIC ENTERTAINMENT,Singles,Or,24/01/2020,18/12/2025,1,2025,Singles
HÖS COPPERFIELD FEAT. LETO,APRÈS LA PLUIE,TTR / ALLPOINTS / BELIEVE,Singles,Or,28/09/2020,18/12/2025,1,2025,Singles
NIAKS,HAYLA,BYLKA PROD / ADA FRANCE / WARNER MUSIC FRANCE,Singles,Or,27/05/2022,18/12/2025,1,2025,Singles
ADÉ,SUNSET,TÔT OU TARD / BELIEVE,Singles,Or,24/08/2022,18/12/2025,1,2025,Singles
TIAKOLA,SANS NOUVELLE,WATI-B / SONY MUSIC ENTERTAINMENT,Singles,Or,27/09/2022,18/12/2025,1,2025,Singles
STAR ACADEMY,NE PARTEZ PAS SANS MOI,COLUMBIA / SONY MUSIC ENTERTAINMENT,Singles,Or,22/10/2022,18/12/2025,2,2025,Singles
JOSMAN,LES FLAMMES,SIDELINE / SONY MUSIC ENTERTAINMENT,Singles,Or,28/10/2023,18/12/2025,2,2025,Singles
JUSTICE & TAME IMPALA,NEVERENDER,GENESIS / BECAUSE,Singles,Or,25/04/2024,18/12/2025,2,2025,Singles
YEAT,IF WE BEING RËAL,UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE,Singles,Or,16/02/2024,18/12/2025,2,2025,Singles
LA MANO 1.9 & MUSTO,J'COUPE TOUT,R.A.T MUSIC / CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE,Singles,Or,25/04/2024,18/12/2025,2,2025,Singles
PIERRE GARNIER,CE QUI ME VA,COLUMBIA / SONY MUSIC ENTERTAINMENT,Singles,Or,07/06/2024,18/12/2025,2,2025,Singles
ROBIN SCHULZ & CYRIL FEAT. SAM MARTIN,WORLD GONE WILD,WARNER MUSIC CENTRAL EUROPE / WEA / WARNER MUSIC FRANCE,Singles,Or,11/10/2024,18/12/2025,2,2025,Singles
TYLA,PUSH 2 START,FAX RECORDS/EPIC / SONY MUSIC ENTERTAINMENT,Singles,Or,11/10/2024,18/12/2025,2,2025,Singles
DAMSO,JCVDEMS,TRENTE-QUATRE CENTIMES,Singles,Or,30/05/2025,18/12/2025,2,2025,Singles
LA MANO 1.9 & TIAKOLA,CRIME ENSOLEILLÉ,R.A.T MUSIC / CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE,Singles,Or,26/06/2025,18/12/2025,2,2025,Singles
THEODORA,FASHION DESIGNA,BOSS LADY RECORDS / VIRGIN MUSIC FRANCE / UNIVERSAL MUSIC FRANCE,Singles,Diamant,01/11/2024,18/12/2025,2,2025,Singles
"GP EXPLORER, GIMS, LA MANO 1.9, SCH",UN MONDE À L'AUTRE,MAISON BARON ROUGE / BELIEVE,Singles,Diamant,11/09/2025,18/12/2025,2,2025,Singles
AYA NAKAMURA,BRISÉ,REC. 118 / WARNER MUSIC FRANCE,Singles,Platine,25/08/2017,18/12/2025,2,2025,Singles
SO LA LUNE,RODÉ,PLAY TWO / BELIEVE,Singles,Platine,11/06/2021,18/12/2025,2,2025,Singles
